no,number,fast_link,age,area,feature,orientation,price,unit_price,total,down_payment,tax,loan_period,community,around,floor,style,building_type,elevator,heating,decoration
1,101091707140,http://bj.lianjia.com/ershoufang/101091707140.html,1996,54.8㎡,.满两年.不唯一.已购公房,南,200,36496,208.0,88.0,2.1,27/30,方南家园一期,丰台.刘家窑.近5号线宋家庄站,低楼层,1室1厅1厨1卫,板楼,一梯三户,集中供暖,毛坯
2,101092197138,http://bj.lianjia.com/ershoufang/101092197138.html,1998,49.69㎡,.满五年.唯一住宅.已购公房,东,195,39243,202.8,82.8,2.0,29/30,石榴园南里小区,丰台.刘家窑.近5号线宋家庄站,低楼层,1室1厅1厨1卫,板塔结合,一梯四十四户,集中供暖,简装
3,101092214289,http://bj.lianjia.com/ershoufang/101092214289.html,1998,50㎡,.满五年.唯一住宅.已购公房,西,185,37000,192.5,72.5,2.0,29/30,石榴园南里小区,丰台.刘家窑.近5号线宋家庄站,低楼层,1室1厅1厨1卫,板塔结合,一梯四十四户,集中供暖,简装
4,101100296689,http://bj.lianjia.com/ershoufang/101100296689.html,1993,46.47㎡,.满五年.唯一住宅.已购公房,南,195,41963,202.8,82.8,2.0,24/30,南顶村,丰台.赵公口.近10号线石榴庄站,高楼层,1室1厅1厨1卫,板楼,一梯三户,集中供暖,精装
5,101092139655,http://bj.lianjia.com/ershoufang/101092139655.html,1996,50.5㎡,.未满两年.唯一住宅.已购公房,南,200,39604,208.0,88.0,2.1,27/30,石榴园北里小区,丰台.刘家窑.近10号线石榴庄站,低楼层,1室1厅1厨1卫,板楼,一梯三户,集中供暖,精装
6,101100225602,http://bj.lianjia.com/ershoufang/101100225602.html,1996,40.3㎡,.暂无数据.唯一住宅.已购公房,东南,160,39702,173.8,65.0,9.0,27/30,赵公口小区,丰台.木樨园.近5号线刘家窑站,中楼层,1室1厅1厨1卫,塔楼,一梯六户,集中供暖,简装
7,101100299835,http://bj.lianjia.com/ershoufang/101100299835.html,2002,46.87㎡,.暂无数据.暂无数据.商品房,西,190,40538,207.1,87.1,11.5,30/30,石榴园南里小区,丰台.刘家窑.近10号线石榴庄站,低楼层,1室1厅1厨1卫,板楼,一梯三户,集中供暖,其他
8,101100231338,http://bj.lianjia.com/ershoufang/101100231338.html,2000,51.18㎡,.暂无数据.唯一住宅.商品房,东 西,200,39078,217.4,97.4,11.5,30/30,康泽园,丰台.赵公口.近10号线石榴庄站,高楼层,1室1厅1厨1卫,板楼,一梯三户,集中供暖,简装
9,101091859274,http://bj.lianjia.com/ershoufang/101091859274.html,1996,40.77㎡,.满五年.不唯一.已购公房,东南,160,39245,166.6,57.8,1.8,27/30,赵公口小区,丰台.木樨园.近5号线刘家窑站,低楼层,1室1厅1厨1卫,塔楼,一梯八户,集中供暖,简装
10,101092381167,http://bj.lianjia.com/ershoufang/101092381167.html,1995,48㎡,.暂无数据.暂无数据.已购公房,南,192,40000,209.7,89.7,12.0,26/30,石榴园北里小区,丰台.刘家窑.近10号线石榴庄站,中楼层,1室1厅1厨1卫,板楼,一梯三户,集中供暖,其他
11,101100253498,http://bj.lianjia.com/ershoufang/101100253498.html,1998,49.69㎡,独家.暂无数据.唯一住宅.已购公房,西,175,35218,192.0,73.0,11.8,29/30,石榴园南里小区,丰台.刘家窑.近5号线宋家庄站,高楼层,1室1厅1厨1卫,板塔结合,一梯四十四户,集中供暖,精装
12,101092004095,http://bj.lianjia.com/ershoufang/101092004095.html,1995,50.36㎡,.满两年.唯一住宅.已购公房,东,180,35743,187.4,67.4,2.0,26/30,石榴园北里小区,丰台.刘家窑.近5号线宋家庄站,中楼层,1室1厅1厨1卫,板塔结合,一梯四十四户,集中供暖,简装
13,101091482180,http://bj.lianjia.com/ershoufang/101091482180.html,2004,61㎡,.满五年.不唯一.一类经济适用房,南,200,32787,212.4,92.4,6.5,30/30,政馨园二区,丰台.宋家庄.近5号线宋家庄站,中楼层,1室0厅1厨1卫,板塔结合,一梯八户,自采暖,简装
16,101092346214,http://bj.lianjia.com/ershoufang/101092346214.html,2003,55㎡,.满两年.唯一住宅.一类经济适用房,北,195,35455,207.3,87.3,6.5,30/30,政馨园一区,丰台.宋家庄.近5号线宋家庄站,低楼层,1室1厅1厨1卫,板塔结合,一梯十一户,自采暖,精装
17,101100265019,http://bj.lianjia.com/ershoufang/101100265019.html,2003,47.39㎡,.满五年.唯一住宅.商品房,东,200,42203,207.4,87.4,1.5,30/30,世纪星,丰台.宋家庄.近14号线(东段)方庄站,中楼层,1室0厅1厨1卫,塔楼,一梯十二户,集中供暖,简装
20,101092135492,http://bj.lianjia.com/ershoufang/101092135492.html,2005,55㎡,.满两年.唯一住宅.商品房,北,180,32727,186.9,66.9,1.5,30/30,芳泽园,丰台.宋家庄.近5号线宋家庄站,低楼层,1室1厅1厨1卫,板楼,一梯五户,集中供暖,简装
